Engine No,C (%),M (%),A (%),S (%),Other (%)
1,18.030,5.067,6.660,26.254,43.990
2,19.758,6.296,7.958,30.850,35.138
3,19.627,5.673,7.375,29.153,38.173
4,19.790,5.942,7.705,29.433,37.130
5,22.565,3.920,9.318,18.558,45.639
6,20.597,4.464,9.459,18.053,47.426
7,23.810,4.222,6.387,22.988,42.593
8,24.059,4.191,6.301,23.019,42.430
9,24.312,4.772,6.972,30.855,33.089
10,15.936,5.476,8.646,23.617,46.325
11,24.670,3.887,8.458,29.191,33.794
12,23.174,4.191,7.635,23.415,41.585
13,25.529,4.115,7.252,24.592,38.512
14,24.723,4.135,7.303,24.361,39.477
15,23.905,4.252,6.185,21.992,43.666
16,23.941,4.139,6.259,22.268,43.392
17,25.706,4.629,9.268,28.610,31.787
18,16.185,5.048,8.448,25.209,45.110
19,21.043,5.302,7.676,26.685,39.294
20,22.657,5.898,8.130,33.153,30.162